,NU_ANO_CENSO,CO_IES,NO_IES,SG_UF_IES,NO_MUNICIPIO_IES,QT_MAT,QT_ING,QT_CONC
3808,2024,829,UNIVERSIDADE ESTADUAL DO TOCANTINS,TO,Palmas,1491,861,470
4196,2024,4786,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS",TO,Palmas,710,155,65
4203,2024,4969,Centro Universitário Itop,TO,Palmas,144,60,36
4223,2024,5544,FACULDADE PRESIDENTE ANTÔNIO CARLOS,TO,Porto Nacional,38,13,9
4317,2024,16759,Faculdade do Bico,TO,Augustinópolis,17,3,3
4521,2024,29118,Universidade Federal do Norte do Tocantins,TO,Araguaína,164,33,25
2905,2023,829,UNIVERSIDADE ESTADUAL DO TOCANTINS,TO,Palmas,619,619,0
3316,2023,4786,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS",TO,Palmas,638,208,109
3326,2023,4969,Centro Universitário Itop,TO,Palmas,139,26,14
3627,2023,29118,Universidade Federal do Norte do Tocantins,TO,Araguaína,172,41,35
2342,2022,3849,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,TO,Palmas,200,5,45
2429,2022,4786,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS",TO,Palmas,692,199,75
2438,2022,4969,Centro Universitário Itop,TO,Palmas,96,17,10
1371,2021,2741,FACULDADE CATÓLICA DOM ORIONE,TO,Araguaína,12,0,12
1439,2021,3849,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,TO,Palmas,228,0,32
1530,2021,4786,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS",TO,Palmas,633,208,52
1539,2021,4969,FACULDADE ITOP,TO,Palmas,113,15,5
475,2020,2741,FACULDADE CATÓLICA DOM ORIONE,TO,Araguaína,21,0,9
546,2020,3849,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,TO,Palmas,280,1,31
634,2020,4786,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS",TO,Palmas,636,252,46
645,2020,4969,FACULDADE ITOP,TO,Palmas,150,43,8
3639,2024,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,SP,São Paulo,443,305,126
3644,2024,33,FACULDADE DE TECNOLOGIA DE SOROCABA,SP,Sorocaba,251,150,57
3645,2024,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,SP,São Paulo,7183,4386,1057
3646,2024,35,"FACULDADE DE TECNOLOGIA DE AMERICANA ""MINISTRO RALPH BIASI""",SP,Americana,551,208,110
3647,2024,36,FACULDADE DE TECNOLOGIA RUBENS LARA,SP,Santos,893,387,187
3648,2024,37,FACULDADE DE TECNOLOGIA DE JAHU,SP,Jaú,341,142,83
3658,2024,124,UNIVERSIDADE DE ARARAQUARA,SP,Araraquara,31,0,20
3659,2024,125,CENTRO UNIVERSITÁRIO DE ARARAS -,SP,Araras,179,256,26
3660,2024,135,Claretiano - Centro Universitário,SP,Batatais,238,218,67
3661,2024,137,CENTRO UNIVERSITÁRIO SAGRADO CORAÇÃO,SP,Bauru,100,94,7
3662,2024,138,CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ,SP,Ribeirão Preto,12,9,6
3665,2024,146,CENTRO UNIVERSITÁRIO DE RIO PRETO,SP,São José do Rio Preto,74,48,20
3666,2024,150,UNIVERSIDADE DE SOROCABA,SP,Sorocaba,231,152,52
3668,2024,162,CENTRO UNIVERSITÁRIO BELAS ARTES DE SÃO PAULO,SP,São Paulo,64,56,11
3671,2024,167,UNIVERSIDADE METODISTA DE SÃO PAULO,SP,São Bernardo do Campo,509,159,188
3672,2024,203,UNIVERSIDADE SÃO JUDAS TADEU,SP,São Paulo,2483,1781,678
3673,2024,206,Centro Universitário Católico Ítalo Brasileiro,SP,São Paulo,1055,855,132
3674,2024,207,CENTRO UNIVERSITÁRIO MOURA LACERDA,SP,Ribeirão Preto,33,4,25
3676,2024,221,UNIVERSIDADE CRUZEIRO DO SUL,SP,São Paulo,16501,11846,3114
3677,2024,224,Centro Universitário FMABC,SP,Santo André,40,7,9
3678,2024,227,UNIVERSIDADE CATÓLICA DE SANTOS,SP,Santos,623,483,6
3679,2024,242,CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI,SP,Santo André,7199,5831,1078
3680,2024,244,CENTRO UNIVERSITÁRIO FIEO,SP,Osasco,90,60,28
3681,2024,254,CENTRO UNIVERSITÁRIO UNI-BAN,SP,São Paulo,0,0,0
3682,2024,263,FACULDADES INTEGRADAS CAMPOS SALLES,SP,São Paulo,188,8,13
3683,2024,265,CENTRO UNIVERSITÁRIO DAS FACULDADES INTEGRADAS DE OURINHOS,SP,Ourinhos,54,19,21
3685,2024,271,UNIVERSIDADE DO OESTE PAULISTA,SP,Presidente Prudente,95,57,31
3686,2024,275,UNIVERSIDADE DO VALE DO PARAÍBA,SP,São José dos Campos,32,59,0
3691,2024,316,UNIVERSIDADE NOVE DE JULHO,SP,São Paulo,14988,6482,4596
3692,2024,319,UNIVERSIDADE BRASIL,SP,São Paulo,31,58,4
3693,2024,322,UNIVERSIDADE PAULISTA,SP,São Paulo,14532,12109,3797
3702,2024,360,Centro Universitário Paulistana,SP,São Paulo,24,7,13
3703,2024,363,FACULDADE MOZARTEUM DE SÃO PAULO,SP,São Paulo,3,0,3
3705,2024,368,FACULDADE DE EDUCAÇÃO FÍSICA DA ASSOCIAÇÃO CRISTÃ DE MOÇOS DE SOROCABA,SP,Sorocaba,9,0,9
3706,2024,374,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,SP,São Paulo,6067,4430,663
3707,2024,375,UNIVERSIDADE SANTO AMARO,SP,São Paulo,1925,1232,429
3708,2024,376,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,SP,São Paulo,312,264,129
3720,2024,417,UNIVERSIDADE CIDADE DE SÃO PAULO,SP,São Paulo,10809,7050,2341
3721,2024,420,UNIVERSIDADE DE MARÍLIA,SP,Marília,3673,1704,1161
3725,2024,434,FACULDADE SANTA MARCELINA,SP,São Paulo,63,39,12
3727,2024,438,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ITUVERAVA,SP,Ituverava,7,4,0
3728,2024,440,FACULDADE DE DIREITO DE ITÚ,SP,Itu,30,20,4
3733,2024,456,CENTRO UNIVERSITÁRIO SANT¿ANNA,SP,São Paulo,65,60,56
3734,2024,466,UNIVERSIDADE ANHEMBI MORUMBI,SP,São Paulo,8869,4415,2299
3738,2024,481,Universidade Universus Veritas Guarulhos,SP,Guarulhos,1331,665,277
3740,2024,483,CENTRO UNIVERSITÁRIO METROPOLITANO DE SÃO PAULO,SP,Guarulhos,15,18,0
3743,2024,491,CENTRO UNIVERSITÁRIO DON DOMÊNICO,SP,Guarujá,130,117,32
3745,2024,496,UNIVERSIDADE DE FRANCA,SP,Franca,4026,2705,808
3746,2024,502,CENTRO UNIVERSITÁRIO SÃO JUDAS TADEU,SP,Santos,58,16,30
3752,2024,521,UNIVERSIDADE DE MOGI DAS CRUZES,SP,Mogi das Cruzes,705,501,238
3754,2024,526,CENTRO UNIVERSITÁRIO BRAZ CUBAS,SP,Mogi das Cruzes,1496,1036,330
3769,2024,605,UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL,SP,São Caetano do Sul,387,251,122
3778,2024,652,Centro Universitário Santa Cecília,SP,Pindamonhangaba,71,31,27
3781,2024,665,UNIVERSIDADE DE TAUBATÉ,SP,Taubaté,202,100,42
3783,2024,670,UNIVERSIDADE SÃO FRANCISCO,SP,Bragança Paulista,1586,948,337
3791,2024,707,CENTRO UNIVERSITÁRIO CENTRAL PAULISTA,SP,São Carlos,66,77,6
3799,2024,737,CENTRO UNIVERSITÁRIO SÃO CAMILO,SP,São Paulo,272,220,39
3800,2024,738,CENTRO UNIVERSITÁRIO TERESA D'ÁVILA,SP,Lorena,5,2,0
3802,2024,793,Centro Universitário Estácio de São Paulo,SP,São Paulo,241,145,85
3810,2024,898,Centro Universitário Unisan,SP,São Paulo,1,0,1
3813,2024,923,CENTRO UNIVERSITÁRIO SÃO ROQUE,SP,São Roque,65,42,18
3816,2024,952,UNIVERSIDADE SANTA CECÍLIA,SP,Santos,1623,1241,400
3817,2024,953,UNIVERSIDADE METROPOLITANA DE SANTOS,SP,Santos,715,529,145
3819,2024,967,FACULDADE DE TECNOLOGIA DE TAQUARITINGA,SP,Taquaritinga,566,242,129
3820,2024,997,Centro Universitário de Bauru,SP,Bauru,50,25,4
3823,2024,1032,CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO,SP,Americana,22,24,10
3827,2024,1046,UNIÃO DAS FACULDADES DOS GRANDES LAGOS,SP,São José do Rio Preto,66,43,2
3828,2024,1048,FACULDADE CAMPOS ELÍSEOS,SP,São Paulo,479,155,221
3838,2024,1092,FACULDADES INTEGRADAS DE BAURU,SP,Bauru,31,26,5
3839,2024,1100,Centro Universitário Carlos Drummond de Andrade,SP,São Paulo,234,70,98
3847,2024,1149,CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO,SP,Itu,467,280,181
3854,2024,1187,CENTRO UNIVERSITÁRIO MÓDULO,SP,Caraguatatuba,34,26,14
3855,2024,1195,FACULDADE SENAI DE TECNOLOGIA MECATRÔNICA,SP,São Caetano do Sul,54,35,17
3858,2024,1224,CENTRO UNIVERSITÁRIO DE JALES,SP,Jales,2,0,1
3859,2024,1225,CENTRO UNIVERSITÁRIO AMPARENSE,SP,Amparo,21,0,12
3864,2024,1270,CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO,SP,Ribeirão Preto,14576,11949,3110
3865,2024,1273,Centro Universitário Campo Limpo Paulista,SP,Campo Limpo Paulista,209,69,52
3866,2024,1276,INSTITUTO TAUBATÉ DE ENSINO SUPERIOR,SP,Taubaté,1,3,1
3867,2024,1294,Centro Universitário das Américas,SP,São Paulo,4534,2390,1182
3868,2024,1295,FACULDADE DE EDUCAÇÃO E TECNOLOGIA IRACEMA,SP,São Paulo,0,0,0
3870,2024,1310,FACULDADE DE AMERICANA,SP,Americana,282,170,80
3874,2024,1345,FACULDADE ANHANGUERA DE OSASCO,SP,Osasco,232,205,65
3879,2024,1365,CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,SP,São Paulo,433,220,29
3884,2024,1386,FACULDADE ESAMC CAMPINAS,SP,Campinas,338,232,128
3885,2024,1388,CENTRO UNIVERSITÁRIO SUMARÉ,SP,São Paulo,509,348,74
3889,2024,1418,Centro Universitário Toledo Wyden,SP,Araçatuba,68,52,17
3894,2024,1432,FACULDADE BERTIOGA,SP,Bertioga,4,0,4
3895,2024,1433,Faculdade Vilas Boas,SP,Lençóis Paulista,0,0,0
3896,2024,1434,Centro Universitário de Itapira Uniesi,SP,Itapira,0,2,0
3899,2024,1444,Centro Universitário Einstein de Limeira,SP,Limeira,20,21,0
3903,2024,1478,FACULDADE ANHANGUERA DE SÃO BERNARDO,SP,São Bernardo do Campo,105,67,44
3906,2024,1490,CENTRO UNIVERSITÁRIO DE JAGUARIÚNA,SP,Jaguariúna,411,276,128
3910,2024,1499,FACULDADE ANHANGUERA DE TABOÃO DA SERRA,SP,Taboão da Serra,30,31,15
3916,2024,1526,Centro Universitário Senai São Paulo,SP,São Paulo,37,36,0
3920,2024,1541,FACULDADE FLAMINGO,SP,São Paulo,224,82,91
3922,2024,1554,CENTRO UNIVERSITÁRIO DO VALE DO RIBEIRA,SP,Registro,309,147,32
3924,2024,1561,FACULDADE ESAMC SOROCABA,SP,Sorocaba,119,80,32
3930,2024,1583,FACULDADE DE TECNOLOGIA DE INDAIATUBA,SP,Indaiatuba,848,410,175
3931,2024,1584,FACULDADE DE TECNOLOGIA DE GUARATINGUETÁ,SP,Guaratinguetá,513,236,105
3940,2024,1659,FACULDADE ESTÁCIO DE SÁ DE OURINHOS,SP,Ourinhos,2,0,2
3946,2024,1690,FACULDADE DE SÃO VICENTE,SP,São Vicente,279,164,55
3951,2024,1713,FACULDADE DE TECNOLOGIA DE SÃO VICENTE,SP,São Vicente,39,18,18
3955,2024,1723,STRONG BUSINESS SCHOOL,SP,Santo André,41,20,10
3956,2024,1725,FACULDADE XV DE AGOSTO,SP,Socorro,6,6,0
3959,2024,1732,FACULDADE GENNARI E PEARTREE,SP,Pederneiras,61,31,13
3961,2024,1742,Centro Universitário de Tecnologia Carlos Drummond de Andrade,SP,São Paulo,108,107,27
3962,2024,1745,Faculdade Interativa de São Paulo,SP,São Paulo,23,18,8
3964,2024,1762,Centro Universitário de Tecnologia e Negócios Carlos Drummond de Andrade,SP,São Paulo,25,27,7
3969,2024,1776,Faculdade Anhanguera de Tecnologia de Jundiaí,SP,Jundiaí,26,34,9
3972,2024,1788,FACULDADE DE ADMINISTRAÇÃO E ARTES DE LIMEIRA,SP,Limeira,39,19,16
3976,2024,1810,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",SP,São Paulo,954,419,206
3984,2024,1834,FACULDADE DE AGUDOS,SP,Agudos,32,22,5
3985,2024,1836,CENTRO UNIVERSITÁRIO FUNDAÇÃO DE ENSINO OCTÁVIO BASTOS - FEOB,SP,São João da Boa Vista,119,84,56
3986,2024,1838,FACULDADES INTEGRADAS RIO BRANCO,SP,São Paulo,10,10,0
3987,2024,1841,CENTRO UNIVERSITÁRIO ANTÔNIO EUFRÁSIO DE TOLEDO DE PRESIDENTE PRUDENTE - TOLEDO PRUDENTE,SP,Presidente Prudente,56,32,18
3989,2024,1846,CENTRO UNIVERSITÁRIO DE LINS,SP,Lins,932,203,261
3990,2024,1853,Centro Universitário UNIBTA,SP,São Paulo,796,463,55
3991,2024,1854,CLARETIANO - CENTRO UNIVERSITÁRIO,SP,Rio Claro,155,87,71
3995,2024,1874,FACULDADE DE TECNOLOGIA DE OURINHOS,SP,Ourinhos,264,129,38
3999,2024,1892,Centro Universitário de Excelência Eniac,SP,Guarulhos,1421,709,296
4008,2024,1949,CENTRO UNIVERSITÁRIO DE PAULÍNIA,SP,Paulínia,92,61,33
4023,2024,2123,CENTRO UNIVERSITÁRIO MAX PLANCK,SP,Indaiatuba,162,124,34
4029,2024,2183,CENTRO UNIVERSITÁRIO FUNDAÇÃO SANTO ANDRÉ,SP,Santo André,98,85,21
4035,2024,2279,Centro Universitário Metrocamp Wyden,SP,Campinas,338,404,34
4040,2024,2408,FACULDADE ESAMC SANTOS,SP,Santos,97,87,2
4056,2024,2625,CENTRO UNIVERSITÁRIO UFBRA,SP,São José dos Campos,1620,2490,0
4059,2024,2688,FACULDADE INESP - INSTITUTO NACIONAL DE ENSINO E PESQUISA,SP,Jacareí,60,32,19
4074,2024,3008,FACULDADE DO INSTITUTO NACIONAL DE PÓS-GRADUAÇÃO DE SÃO JOSÉ DOS CAMPOS,SP,São José dos Campos,15,15,0
4092,2024,3294,CENTRO UNIVERSITÁRIO FAVENI,SP,Guarulhos,607,217,20
4108,2024,3529,CENTRO UNIVERSITÁRIO EURÍPEDES DE MARÍLIA,SP,Marília,63,46,25
4111,2024,3603,FACULDADE ANHANGUERA DE GUARULHOS,SP,Guarulhos,104,130,22
4112,2024,3612,FACULDADE ANHANGUERA DE VALINHOS,SP,Valinhos,0,0,0
4117,2024,3779,CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTO ANDRÉ,SP,Santo André,127,57,56
4131,2024,3937,Faculdade Anhanguera de Indaiatuba,SP,Indaiatuba,0,0,0
4135,2024,3985,CENTRO UNIVERSITÁRIO SENAC,SP,São Paulo,2428,1911,583
4138,2024,4007,"FATECE - FACULDADE DE TECNOLOGIA, CIÊNCIAS E EDUCAÇÃO",SP,Pirassununga,29,20,11
4140,2024,4017,CENTRO UNIVERSITÁRIO PADRE ANCHIETA,SP,Jundiaí,930,714,172
4141,2024,4020,FACULDADE DE TECNOLOGIA DE BOTUCATU,SP,Botucatu,423,232,79
4142,2024,4021,FACULDADE DE TECNOLOGIA DE GARÇA,SP,Garça,255,131,58
4143,2024,4022,FACULDADE DE TECNOLOGIA DE JUNDIAÍ,SP,Jundiaí,334,156,65
4144,2024,4023,FACULDADE DE TECNOLOGIA DE MAUÁ,SP,Mauá,265,149,41
4145,2024,4024,FACULDADE DE TECNOLOGIA DE MOCOCA,SP,Mococa,333,141,49
4146,2024,4025,FACULDADE DE TECNOLOGIA DE SÃO JOSÉ DO RIO PRETO,SP,São José do Rio Preto,262,144,51
4147,2024,4026,FACULDADE DE TECNOLOGIA ZONA LESTE,SP,São Paulo,1145,528,238
4150,2024,4059,"FACULDADE DE SAÚDE, CIÊNCIAS E TECNOLOGIA - FACESB",SP,São Joaquim da Barra,26,21,5
4152,2024,4086,FACULDADE DE TECNOLOGIA JARDIM,SP,Santo André,229,89,170
4159,2024,4150,FACULDADE DE TECNOLOGIA DE PIRACICABA,SP,Piracicaba,213,112,64
4161,2024,4169,Faculdade Estácio de Carapicuíba,SP,Carapicuíba,112,98,43
4162,2024,4211,Faculdade ESAMC São Paulo - ESAMC,SP,São Paulo,1,0,1
4177,2024,4597,FACULDADE FUTURA,SP,Votuporanga,16,7,8
4180,2024,4652,FACULDADE ANHANGÜERA DE SÃO JOSÉ,SP,São José dos Campos,29,39,16
4181,2024,4655,FACULDADE ANHANGÜERA DE SOROCABA,SP,Sorocaba,76,88,27
4182,2024,4656,FACULDADE ANHANGÜERA DE PIRACICABA,SP,Piracicaba,63,60,27
4189,2024,4724,FACULDADE DE CIÊNCIAS HUMANAS DO ESTADO DE SÃO PAULO,SP,Cruzeiro,51,22,10
4197,2024,4826,FACULDADE ANHANGÜERA DE CAMPINAS,SP,Campinas,62,37,35
4198,2024,4878,FACULDADE ANHANGUERA DE ITAPECERICA DA SERRA,SP,Itapecerica da Serra,9,6,9
4201,2024,4926,FACULDADE DE TECNOLOGIA DE PRAIA GRANDE,SP,Praia Grande,561,186,135
4204,2024,4983,FACULDADE IBRA DE TECNOLOGIA,SP,São José dos Campos,16,0,6
4206,2024,4995,Faculdade Educamais,SP,São Paulo,41,38,1
4212,2024,5215,CENTRO UNIVERSITÁRIO PADRE ALBINO,SP,Catanduva,289,137,110
4214,2024,5288,FACULDADE ANHANGÜERA DE RIBEIRÃO PRETO,SP,Ribeirão Preto,9,6,6
4215,2024,5312,Centro Universitário UNIFAAT,SP,Atibaia,217,91,80
4219,2024,5387,FACULDADE IMPACTA,SP,São Paulo,0,0,0
4224,2024,5555,FACULDADE ANHANGUERA DE JACAREÍ,SP,Jacareí,52,51,16
4225,2024,5627,FACULDADE DE TECNOLOGIA DE PRESIDENTE PRUDENTE,SP,Presidente Prudente,314,145,58
4226,2024,5633,FACULDADE DE TECNOLOGIA DE BRAGANÇA PAULISTA,SP,Bragança Paulista,193,107,41
4227,2024,5669,CENTRO UNIVERSITÁRIO ETEP,SP,São José dos Campos,16,0,4
4232,2024,11308,FACULDADE ANHANGUERA DE SUMARÉ,SP,Sumaré,95,91,29
4239,2024,12522,FACULDADE MOGIANA DO ESTADO DE SÃO PAULO,SP,Mogi Guaçu,51,21,26
4241,2024,12723,FACULDADE FINACI,SP,São Paulo,29,25,1
4244,2024,12817,FACULDADE IMESP MONITOR,SP,São Paulo,8,5,2
4253,2024,13488,FACULDADE SEQÜENCIAL,SP,São Paulo,54,21,10
4258,2024,13752,FACULDADE METROPOLITANA DE GUARULHOS,SP,Guarulhos,7,7,0
4264,2024,14194,FATEC - FACULDADE DE TEOLOGIA E CIÊNCIAS DE VOTUPORANGA,SP,Votuporanga,120,40,0
4267,2024,14401,FACULDADE DE TECNOLOGIA PORTO DAS MONÇÕES,SP,Porto Feliz,12,8,3
4272,2024,14715,Centro Universitário Piaget,SP,Suzano,160,112,66
4289,2024,15576,Faculdade de Tecnologia de Mogi das Cruzes,SP,Mogi das Cruzes,669,318,133
4290,2024,15581,Faculdade de Tecnologia de São José dos Campos - Jessen Vidal,SP,São José dos Campos,534,237,98
4291,2024,15680,Fatec Cruzeiro - Prof. Waldomiro May,SP,Cruzeiro,376,126,55
4292,2024,15682,Faculdade de Tecnologia de Piracicaba,SP,Piracicaba,347,155,63
4293,2024,15687,Faculdade de Tecnologia de Pindamonhangaba,SP,Pindamonhangaba,157,65,35
4294,2024,15688,FACULDADE DE TECONOLOGIA DA ZONA SUL,SP,São Paulo,626,281,143
4295,2024,15689,Faculdade de Tecnologia de Bauru,SP,Bauru,90,57,12
4296,2024,15693,Faculdade de Tecnologia de Itapetininga - Prof.Antônio Belizandro Barbosa Rezende,SP,Itapetininga,614,358,92
4297,2024,15695,Faculdade de Tecnologia Dom Amaury Castanho,SP,Itu,180,103,37
4298,2024,15696,Faculdade de Tecnologia de Sertãozinho,SP,Sertãozinho,528,235,73
4299,2024,15708,Faculdade de Tecnologia Dr. Thomaz Novelino,SP,Franca,753,351,177
4300,2024,15715,FACULDADE DE TECNOLOGIA PROFESSOR ANTÔNIO SEABRA,SP,Lins,396,180,56
4301,2024,15745,Faculdade de Tecnologia de São Caetano do Sul,SP,São Caetano do Sul,118,66,35
4302,2024,15746,Faculdade de Tecnologia do Ipiranga,SP,São Paulo,274,90,47
4303,2024,15752,Faculdade de Tecnologia de Guarulhos,SP,Guarulhos,833,388,157
4304,2024,15757,Faculdade de Tecnologia de Barueri,SP,Barueri,451,76,148
4305,2024,15769,Faculdade de Tecnologia de Jales,SP,Jales,299,85,68
4306,2024,15793,Faculdade de Tecnologia de São Sebastião,SP,São Sebastião,293,108,106
4307,2024,15803,FACULDADE DE TECNOLOGIA DE TATUÍ - PROF. WILSON ROBERTO RIBEIRO DE CAMARGO,SP,Tatuí,486,207,100
4308,2024,15859,Faculdade Católica Paulista,SP,Marília,1022,237,294
4310,2024,15922,Faculdade FABAD,SP,Pindamonhangaba,2,13,0
4313,2024,16395,Faculdade de Tecnologia de Carapicuiba,SP,Carapicuíba,278,167,59
4314,2024,16410,Faculdade de Tecnologia de Catanduva,SP,Catanduva,313,138,68
4315,2024,16543,Faculdade Metropolitana do Estado de São Paulo,SP,Ribeirão Preto,1754,1005,399
4325,2024,17355,Faculdade de Educação em Ciências da Saúde,SP,São Paulo,56,19,13
4331,2024,17593,Faculdade de Botucatu,SP,Botucatu,12,5,4
4332,2024,17608,Centro Universitário Faep,SP,São Paulo,18,3,11
4339,2024,17854,Centro Universitário Unifecaf,SP,Taboão da Serra,4866,5594,325
4340,2024,17902,FACULDADE ESAMC JUNDIAÍ,SP,Jundiaí,22,16,7
4341,2024,17928,Faculdade Aliança Educacional do Estado de São Paulo,SP,Itapevi,37,0,26
4344,2024,18035,Escola Brasileira de Medicina Chinesa,SP,São Paulo,8,10,0
4345,2024,18049,Faculdade de Tecnologia de Taubaté,SP,Taubaté,148,48,11
4347,2024,18099,Faculdade de Tecnologia de Diadema Luigi Papaiz,SP,Diadema,211,85,55
4349,2024,18165,Fundação Universidade Virtual do Estado de São Paulo,SP,São Paulo,2877,1390,0
4352,2024,18258,FACULDADE UNIFICADA DO ESTADO DE SÃO PAULO,SP,Mauá,24,12,0
4359,2024,18667,FACULDADE SANTO ANTÔNIO,SP,Caçapava,53,52,5
4362,2024,18711,FACULDADE INOVA MAIS DE SÃO PAULO,SP,São Paulo,20,20,0
4369,2024,19252,FACULDADE DE TECNOLOGIA ALPHA CHANNEL,SP,São Paulo,0,0,0
4372,2024,19325,Faculdade do Centro Oeste Paulista,SP,Piratininga,18,18,0
4376,2024,19500,Faculdade de Tecnologia de São Carlos,SP,São Carlos,392,159,102
4377,2024,19501,Faculdade de Tecnologia Sebrae,SP,São Paulo,393,168,27
4379,2024,19578,Faculdade de Tecnologia de Cotia,SP,Cotia,667,358,70
4383,2024,19739,Faculdade de Tecnologia de Campinas,SP,Campinas,241,167,25
4385,2024,19861,Faculdade de Santana de Parnaíba,SP,Santana de Parnaíba,19,6,15
4386,2024,19862,Faculdade de Tecnologia Jorge Caram Sabbag,SP,Bebedouro,129,53,31
4387,2024,19864,Faculdade de Tecnologia de Itapira,SP,Itapira,266,114,64
4390,2024,19879,Faculdade IPESSP,SP,São Paulo,24,12,7
4395,2024,20340,FACULDADE PAULISTA DE CIÊNCIAS DA SAÚDE,SP,São Paulo,46,33,3
4409,2024,21431,Faculdade IBECO,SP,São Paulo,19,33,0
4411,2024,21502,FACULDADES INTEGRADAS POTENCIAL,SP,Cotia,33,24,9
4412,2024,21573,Faculdade Ana Carolina Puga,SP,São Paulo,10,11,0
4415,2024,21638,Faculdade PECEGE,SP,Piracicaba,30,0,26
4418,2024,21713,Faculdade de Tecnologia - Fatec de Ribeirão Preto,SP,Ribeirão Preto,293,171,61
4422,2024,21826,Faculdade Sebrae,SP,São Paulo,15,15,0
4428,2024,21940,Faculdade Phorte de Educação e Tecnologia,SP,São Paulo,66,63,25
4435,2024,22176,Faculdade ENAU,SP,Ribeirão Pires,58,31,21
4438,2024,22316,FACULDADE NOVE DE JULHO MAUÁ,SP,Mauá,57,23,24
4439,2024,22319,Faculdade de Tecnologia de Itatiba,SP,Itatiba,158,93,25
4450,2024,22603,FACULDADE ANCLIVEPA DE GESTÃO E HUMANOLOGIA,SP,São Paulo,3,0,3
4460,2024,22814,Faculdade Auden Educacional,SP,São Paulo,1324,708,414
4461,2024,22862,FranklinCovey Business School,SP,São Paulo,22,3,17
4462,2024,22866,Faculdade Associada Brasil - EAD,SP,São Paulo,80,72,5
4465,2024,22939,Faculdade de Tecnologia de Araraquara,SP,Araraquara,123,63,33
4466,2024,23022,Faculdade Cetrus Sanar,SP,São Paulo,59,29,0
4467,2024,23139,BRAIN BUSINESS SCHOOL,SP,São Paulo,16,16,0
4468,2024,23147,Faculdade do Comércio de São Paulo,SP,São Paulo,437,227,111
4469,2024,23194,Faculdade PSICOLOG,SP,Ribeirão Preto,5,3,4
4472,2024,23241,Instituto Universitário São Judas de São Bernardo do Campo,SP,São Bernardo do Campo,144,75,59
4477,2024,23438,Faculdade de Tecnologia de Araras,SP,Araras,137,72,22
4479,2024,23459,Faculdade de Tecnologia de Adamantina,SP,Adamantina,14,16,0
4480,2024,23700,Faculdade de Tecnologia de Ferraz de Vasconcelos,SP,Ferraz de Vasconcelos,250,152,39
4482,2024,23723,FACULDADE VOLPE MIELE,SP,Ribeirão Preto,28,19,0
4487,2024,23867,Faculdade de Tecnologia de Sumaré,SP,Sumaré,456,179,90
4490,2024,24046,Faculdade da Associação Médica Paulista,SP,São Paulo,24,0,0
4491,2024,24196,FACULDADE CLEBER LEITE - EAD,SP,Santo André,3,0,0
4495,2024,24300,Faculdade Unida de São Paulo - EAD,SP,São Paulo,16,16,0
4499,2024,24507,Escola de Ensino Superior da Fipe,SP,São Paulo,40,26,16
4505,2024,24709,Instituto Racine de Educação Superior,SP,São Paulo,12,0,0
4506,2024,24864,INSTITUTO DE EDUCAÇÃO SUPERIOR E INOVAÇÃO INVENIO,SP,São Paulo,26,11,8
4508,2024,25181,FACULDADE ALPHAVILLE,SP,Osasco,60,50,6
4510,2024,25451,Faculdade Prepara,SP,São José do Rio Preto,9,0,0
4511,2024,25474,Faculdade Microlins,SP,Catanduva,27,0,5
4514,2024,25576,Faculdade TERZIUS,SP,Campinas,10,1,0
4517,2024,26265,Faculdade ITA Educacional,SP,São Paulo,33,44,0
4520,2024,28986,Faculdade de Tecnologia de Barretos,SP,Barretos,161,72,29
2735,2023,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,SP,São Paulo,630,301,252
